,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered
USA,"104,256",+130,"1,704 ",+8,"2,525"
Italy,"86,498",,"9,134 ",,"10,950"
Spain,"65,719",,"5,138 ",,"9,357"
Germany,"50,871",,351 ,,"6,658"
France,"32,964",,"1,995 ",,"5,700"
Iran,"32,332",,"2,378 ",,"11,133"
UK,"14,543",,759 ,,135
Switzerland,"12,928",,231 ,,"1,530"
S. Korea,"9,478",+146,144 ,+5,"4,811"
Netherlands,"8,603",,546 ,,3
Austria,"7,697",,58 ,,225
Belgium,"7,284",,289 ,,858
Turkey,"5,698",,92 ,,42
Canada,"4,757",,55 ,,354
Portugal,"4,268",,76 ,,43
Norway,"3,771",,19 ,,7
Australia,"3,573",+195,14 ,+1,170
Brazil,"3,477",+60,93 ,+1,6
Sweden,"3,069",,105 ,,16
Israel,"3,035",,12 ,,79
Czechia,"2,279",,9 ,,11
Malaysia,"2,161",,26 ,,259
Ireland,"2,121",,22 ,,5
Denmark,"2,046",,52 ,,1
Ecuador,"1,627",,41 ,,3
Chile,"1,610",,5 ,,43
Luxembourg,"1,605",,15 ,,40
Japan,"1,499",,49 ,,372
Poland,"1,389",,16 ,,7
Pakistan,"1,373",,11 ,,23
Romania,"1,292",,26 ,,115
Thailand,"1,245",+109,6 ,+1,97
South Africa,"1,170",,1 ,,31
Saudi Arabia,"1,104",,3 ,,35
Indonesia,"1,046",,87 ,,46
Finland,"1,041",,7 ,,10
Russia,"1,036",,4 ,,45
Greece,966,,28 ,,52
India,902,+15,20 ,,83
Iceland,890,,2 ,,97
Philippines,803,,54 ,,31
Panama,786,,14 ,,2
Singapore,732,,2 ,,183
Mexico,717,+132,12 ,+4,4
Diamond Princess,712,,10 ,,597
Argentina,690,+101,17 ,+4,72
Peru,635,,11 ,,16
Slovenia,632,,9 ,,10
Croatia,586,,3 ,,37
Dominican Republic,581,,20 ,,3
Estonia,575,,1 ,,11
Qatar,562,, ,,43
Colombia,539,,6 ,,10
Egypt,536,,30 ,,116
Serbia,528,,8 ,,42
Hong Kong,519,,4 ,,111
Bahrain,466,,4 ,,227
Iraq,458,,40 ,,122
New Zealand,451,+83, ,,50
Algeria,409,,26 ,,29
UAE,405,,2 ,,52
Lebanon,391,,8 ,,27
Lithuania,358,,5 ,,1
Morocco,345,,23 ,,11
Armenia,329,,1 ,,28
Ukraine,310,,5 ,,5
Hungary,300,,10 ,,34
Bulgaria,293,,3 ,,9
Latvia,280,, ,,1
Uruguay,274,+36, ,,
Slovakia,269,, ,,2
Andorra,267,,3 ,,1
Taiwan,267,,2 ,,30
Costa Rica,263,,2 ,,3
Bosnia and Herzegovina,237,,4 ,,5
Jordan,235,,1 ,,18
Tunisia,227,,7 ,,2
Kuwait,225,, ,,57
San Marino,223,,21 ,,6
North Macedonia,219,,3 ,,3
Moldova,199,,2 ,,2
Albania,186,,8  ,,31
Burkina Faso,180,,9 ,,12
Vietnam,169,+6, ,,20
Azerbaijan,165,,3 ,,15
Cyprus,162,,5 ,,15
Kazakhstan,150,,1 ,,3
Réunion,145,, ,,1
Faeroe Islands,144,, ,,54
Malta,139,, ,,2
Ghana,137,,4 ,,2
Oman,131,, ,,23
Senegal,119,, ,,11
Brunei ,115,,1 ,+1,11
